question1,question2
Explain why a dc series motor should not be started on no load.,What are the reasons why a DC series motor should not be operated without a load?
What is a file descriptor? Explain the mechanism of passing file descriptor in Unix socket programming?,How does a file descriptor work? Can you explain the process of passing a file descriptor in Unix socket programming?
"Define state, property and process. Explain the concept of cycle process.","What is the definition of state, property and process? How does the concept of cycle process work?"
What are the materials used as thermal insulating materials? How are those materials used in partition walls? Explain with sketches.,What items are utilized as thermal insulation? How are these materials employed in dividing walls? Illustrate with diagrams.
"A bridge is balanced at 1000 H2 and how the following constants: AB, 0.2µF pure capacitances BC, 500Ώ pure resistance: CD unknown: DA, R=300Ώ in parallel with c=0.1 µF. Find R and C or L constants of arm CD, considered as a series circuit.","What are the R and C or L constants of arm CD, which is a series circuit, when the bridge is balanced at 1000 H2 and the constants AB, 0.2µF pure capacitances, BC, 500Ώ pure resistance, and DA, R=300Ώ in parallel with c=0.1 µF are known?"
"Write short notes on: (Any two) B-tree index file, Distributed DBMS, Natural join","Provide brief descriptions of B-tree index files, distributed DBMS, and natural join."
Define convolution of two functions. State and prove convolution theorem on Fourier transform.,What is the meaning of convolution of two functions? Provide an explanation and proof of the convolution theorem in relation to Fourier transform.
Discuss the various mapping issues in COM/ internetworking specification.,What are the different mapping problems associated with COM/internetworking standards?
How Superscalar processor deals with false data dependencies? Explain,What is the method that a Superscalar processor uses to handle situations where false data dependencies arise? Can you explain?
"Write short notes on any two: Importance of Forebay, Sequence of operations of headrace tunnel, Foundation Treatment","What are two significant aspects of a Forebay, what is the order of operations for a Headrace Tunnel, and how is the Foundation Treatment managed?"
"Design an irrigation channel by Kennedy’s theory to carry the discharge of 12 cumecs. Take n=0.025, C.V.R=1, and bed slope is 1 in 4000","Construct an irrigation channel based on Kennedy's approach to transport a flow of 12 cubic meters per second. The Manning's coefficient is 0.025, the channel velocity ratio is 1, and the bed slope is 1 in 4000."
What is escalator? Describe different components of escalator.,Describe the different parts of an escalator and explain what it is.
Write briefly about principle of impulse and momentum.,Briefly describe the concept of impulse and momentum.
Write short notes on any two: i) Pre- processor directives ii) String handling functions iii) Union iv) Dynamic Memory Allocation,"Provide an overview of two of the following topics: Pre-processor directives, String handling functions, Union, or Dynamic Memory Allocation."
"Write a program using the graphics shapes, create an applet with a happy smiley face of yellow color.",Create a program that utilizes graphical shapes to make an applet with a cheerful yellow smiley face.
"What is grass planting? Explain the function, method of operation, site requirement and limitation of grass plantation.","Describe the process of grass planting. Explain the purpose, method of implementation, specific location needs and constraints associated with grass plantation."
Generated HDBZ for 01100000110,What is the Hamming Distance Block Z (HDBZ) for the binary sequence 01100000110?
What is pointing vector? Explain its significance and derive the relation.,"Describe the concept of a pointing vector and explain its importance. Additionally, provide the equation that relates to it."
What are the differences between natural sampling and flat top sampling? Illustrate with suitable derivation.,What distinct characteristics distinguish natural sampling from flat top sampling? Provide a derivation to illustrate.
What are the difference between stack and queue? Write enqueue and dequeue algorithm of circular queue.  What is doubly linked list (DLL) and Circular Linked List (CLL)?,"What are the distinctions between a stack and a queue? Please provide an enqueue and dequeue algorithm for a circular queue. Additionally, can you explain the concepts of doubly linked list and circular linked list?"
How would you determine the horizontal and vertical components of the resultant pressure on a submerged curved surface.,What methods would you use to calculate the horizontal and vertical components of the pressure on a curved surface that is underwater?
Explain why cooling is necessary in I.C. engine. Discuss various methods of cooling of internal combustion engine giving merits and demerits of each.,"What are the advantages and disadvantages of the various methods of cooling an internal combustion engine, and why is cooling necessary for such an engine?"
"Conventional indicator card of reciprocating steam engine without clearance shows the percentage cut-off as 33%. Intake pressure is 9.85 bar and exhaust pressure is 1.125 bar. For 50×60 cm double acting single cylinder engine with a mean piston speed of 18 m/sec, find the Indicated Power for diagram factor of 0.78.","What is the Indicated Power for a 50x60 cm double acting single cylinder reciprocating steam engine with a mean piston speed of 18 m/sec, a 33% cut-off, an intake pressure of 9.85 bar, and an exhaust pressure of 1.125 bar, given a diagram factor of 0.78?"
Define puncture and flashover phenomena for overhead insulators.,What are puncture and flashover phenomena in relation to overhead insulators?
"Disk request come to the disk driver for cylinder 6, 8, 18, 16, 25, 38 and 36 in that order. A seek take 5msec per cylinder move. How much seek time is needed for FCFS Closest Cylinder Next C-Scan (Initially moving upward) Scan (Initially moving downward)           In all cases, the arm initially at cylinder 18. Also describe which one","For FCFS Closest Cylinder Next C-Scan and C-Scan, how much seek time is needed if the disk arm was initially at cylinder 18 in each case? Also, describe the order in which the cylinders were requested. 

Answer: 
For FCFS Closest Cylinder Next C-Scan, the seek time needed is 10msec. The order of cylinders requested is 18, 16, 8, 6, 25, 38, 36.
For C-Scan, the seek time needed is 25msec. The order of cylinders requested is 18, 38, 36, 25, 16, 8, 6."
Explain the advantages and disadvantages of negative feedback. A negative feedback of 0.2% is applied to an amplifier gain of 60 dB. Calculate the percentage change in the overall gain of the feedback amplifier if the internal amplifier is subjected to gain reduction of 15%.,What is the percentage change in the gain of a feedback amplifier when the internal amplifier is decreased by 15% and the negative feedback is 0.2%?
Describe angle of friction with suitable example and neat sketch,Provide an example and draw a diagram to illustrate the concept of angle of friction.
Describe why AM transmission is noisier than FM.,What are the reasons for AM transmission being more prone to noise than FM?
Explain the Critical Regions & Semaphores with example.,Provide an example to illustrate the concepts of Critical Regions and Semaphores.
Explain at least two methods of determining the volume of flow in river,What are two ways to measure the amount of water flowing in a river?
What is the difference between cable media and broadcast media?,How do cable media and broadcast media differ?
Define Ambiguous Grammar.,What is Ambiguous Grammar?
Explain the radiation and intersection methods of plane table survey.,Describe the process of plane table survey using radiation and intersection techniques.
Describe the Name structure of  language.  Write a  program to find sum of all even numbers between 1 to 50.,Outline the system of naming conventions used in a language and create a program that calculates the sum of all even numbers between 1 and 50.
Develop a ladder diagram of the simple elevator system.,Create a ladder diagram of the basic elevator system.
Derive an expression to find the scale of a vertical photograph.,Find an equation that will give the scale of a vertical photograph.
Why is it desirable to expect and plan for change and deviation from the design even during programming phase? Explain.,What are the benefits of anticipating and preparing for alterations and discrepancies from the design during the programming stage? Explain.
What are the Factors affecting elasticity of demand? Explain.,What elements influence the elasticity of demand? Can you provide an explanation?
What is a class? Explain the different types of classes.,How would you describe a class? Could you provide information on the various kinds of classes?
Draw a neat sketch of a rotary intersection with five arms showing different elements and discuss the basic principle of its functioning.,"Create a clear depiction of a 5-point rotary junction, highlighting the various components, and explain the essential workings of the intersection."
"Write a algorithm to evaluate an arithmetic expression in Postfix string. Apply the algorithm to evaluate : AB + C – BA + C$ – (assume A = 1, B = 2, C = 3)","Create an algorithm to calculate the result of the Postfix string ""AB + C – BA + C$ –"", where A = 1, B = 2, and C = 3."
Define real time system. Explain the characteristics of real time OS.,What is a real time system? Describe the traits of a real time operating system.
What do you mean by project life cycle? Explain the activities done in implementation phase.,What is the definition of a project life cycle? Please provide an explanation of the tasks completed during the implementation stage.
Find the quantity of materials required for PCC for RCC 1:2:4 per 1000 cu.m of concreting.,Determine the amount of materials needed for a 1:2:4 ratio of Portland cement concrete to reinforced cement concrete per 1000 cubic meters of concrete.
What  is an electrical drives .Discuss   various types of electrical  drives  with their  merits and  demerits,What are the different types of electrical drives and what are their advantages and disadvantages?
Why definition of Service oriented architecture may receive conflicting answers? Highlight the promises of SOA,What are the potential benefits of Service Oriented Architecture that could cause different responses?
Which is the best device to plot relation of two variables in same graph? With suitable diagram explain the working principle of the device.,What is the most effective tool for plotting the relationship between two variables on the same graph? Please explain the functioning of this tool with a diagram.
Describe the methods used to estimate the missing rainfall data at a station. How would you determine optimum number of rain gauges to be installed in a given catchments,What techniques can be used to calculate the lost measurements of precipitation at a station? What strategies would you employ to determine the best number of rain gauges to be situated in a given catchment?
"What is deadlock and starvation? Consider a system with five processes P0 through P4 and three resources types A,B,C . Resource type A has 10 instances, B has 5 instances and type C has 7 instances. Suppose at time t=0 following snapshot of the system have been taken: i) What will be the content of need matrix? ii) Is the system in safe state? If yes, then what is the safe sequence?","What is the need matrix and is the system in a safe state if there are five processes (P0 through P4) and three resource types (A, B, and C) with 10 instances of A, 5 instances of B, and 7 instances of C at time t=0? If the system is in a safe state, what is the safe sequence?"
Sketch Image recognition steps,Describe the process of recognizing an image.
"Two computers are to be connected with each other via modems. Using RS-232 standards, explain the connection. How can they be connected directly without any modems using RS 232 standard?",How can two computers be connected using RS-232 standards without using any modems?
What do you mean by conditional probability? State and prove Baye’s theorem.,"What is the definition of conditional probability, and how can Baye's Theorem be used to demonstrate it?"
"What are the basic criteria for the location of bag storage structure? Discuss the insect, rodent and bird control technique in bag storage.","What are the essential requirements for the placement of a bag storage facility? Describe the strategies for controlling insects, rodents, and birds in bag storage."
Why Common Collector configuration amplifier is also called emitter follower? Verify your answer with the help of circuit diagram and necessary derivation.,What is the reason that a Common Collector amplifier is also referred to as an emitter follower? Demonstrate your answer through a circuit diagram and appropriate calculations.
State ACID rules for concurrency control. Explain lock-based protocols.,Describe the principles of ACID that apply to concurrent control. Explain the mechanics of lock-based protocols.
What do you mean by group communication? Define the types of taxonomy of MIMD computer.,What is the definition of group communication and what are the different types of taxonomy of MIMD computers?
"Consider following set of processes along with their burst time, arrival time and priorities. Calculate average waiting time and average turnaround time using following scheduling. FCFS SJF Priority (Preemptive) HRRN Process","What is the average waiting time and average turnaround time when using the First Come First Serve, Shortest Job First, Preemptive Priority, and Highest Response Ratio Next scheduling algorithms for a given set of processes which contain burst time, arrival time, and priority?"
What is File Descriptor? Explain the mechanism of passing file descriptor in UNIX Socket Programming.,How does File Descriptor work in UNIX Socket Programming? Explain the process of passing file descriptor.
What is ventilation? Explain natural ventilation processes.,How does ventilation work? Describe the natural ventilation processes.
What is Memory Hierarchy. Explain the write ability and Storage performance of Memory devices?,How does the Memory Hierarchy work and what is the write performance and storage capacity of Memory devices?
"What do you mean by bid and bid bond? Explain briefly the relation between owner, contractor and consultant.","Can you explain the concept of a bid and bid bond, and how they relate to the owner, contractor, and consultant?"
What are objectives of sludge treatment? How do you design digestors? Enlist the major criteria for design of conventional sludge digestors.,What are the goals of sludge treatment? How can digestors be designed? What are the main considerations for designing conventional sludge digestors?
Write down the possible reasons for the failure of masonry dam also write down the necessary conditions for the stability of dam.,List the potential causes of a masonry dam's collapse and identify the requirements for its stability.
Write short notes on (Any Two): i) Inter-subsystem communication ii) Feanzility analysis iii) Implementation of use-cases,i) Explain the process of communication between different subsystems. ii) Describe the process of analyzing feasibility. iii) Outline the steps to implement user scenarios.
Define closed loop and open loop system. Feedback can improve the stability of the open loop system. Justify.,What are the differences between a closed loop and open loop system? How can feedback be used to enhance the stability of an open loop system? Explain your answer.
Differentiate between Register direct and Register indirect addressing modes.,What are the distinctions between Register direct and Register indirect addressing modes?
What are the Design methods of RCC structure?,How is a reinforced concrete structure designed?
What type of system is followed in your locality for management of solid waste? Briefly describe about sanitary landfill.,What methods are used in your area to manage solid waste disposal? Can you provide a brief overview of the process of a sanitary landfill?
Describe edge detection using second derivative gradient model. Also mention the 3-gradient operator mask used in first order differences.,Outline the second derivative gradient model of edge detection and state the three-gradient operator mask used in first order differences.
Discuss about the necessity of I/O module in computer system. Explain about the Interrupt driven I/O.,What is the importance of an I/O module in a computer system? Elaborate on Interrupt-driven I/O.
"Discuss the terms, Natural light and Artificial light. Explain the following terms, related to a light source: Intensity of light Mean, Spherical Candle Power, Luminous eficacay and CRI","Explain the terms Intensity of light, Mean, Spherical Candle Power, Luminous efficiency and CRI in relation to Natural and Artificial light sources."
"Prove that the energy of an electron that is confined in an infinite potential well of width L is given by En=n2h2/8mL2 where L, m and n have their usual meanings ( Use Schrodinger equation).","Demonstrate that the energy of an electron that is restricted in an infinite potential well of size L is expressed by En=n2h2/8mL2 where L, m and n have their standard interpretations (Employ Schrodinger equation)."
What are the main objectives of Real Time System integration? Explain the software Heisenberg Uncertainty Principle.,"What are the main goals of Real-Time System Integration, and how does the Heisenberg Uncertainty Principle of software apply?"
What are the genesis and stages of development of social movements and their outcomes? What are the indicators of community development?,What are the origins and steps of growth of social movements and their results? What are the signs of community progress?
Write a Code for drawing a full circle points.,Create a program to generate a full circle using points.
Define operator and operand. Discuss the different operators used in C.,What are operators and operands? Explain the various operators used in the C programming language.
Explain the statement position and momentum of a moving particle can’t be measured exactly at the same time.,What is the reason why it is not possible to measure a particle's position and momentum simultaneously?
Explain the conditional macro expansion.,Describe how macro expansion works when a condition is present.
Discuss the protection of thyristors,What are the safeguards for thyristors?
Explain the elements of testing,Describe the different components of testing.
What different designing principles will you follow if you have to design a house in a Warm humid climate?,What design guidelines should be taken into consideration when constructing a house in a hot and humid environment?
"Explain the importance and methods of providing tunnel drainage, lighting and ventilation","What are the benefits of tunnel drainage, lighting, and ventilation and how can they be implemented?"
"A rectangular channel with a bottom width of 4 m and bottom slope of 0.008 has a discharge of 1.5m3/s. In a gradually varied flow in this channel, the depth at a certain location is found to be 0.3 m. Assuming n= 0.016, determine the type of G.V.F.","What type of gradually varied flow is present in a rectangular channel with a bottom width of 4 m, bottom slope of 0.008, and a discharge of 1.5 m3/s, if the depth at a certain location is 0.3 m and the Manning's coefficient is 0.016?"
Compare and contrast composition and inheritance.,What are the similarities and differences between composition and inheritance?
"A Sony 3ø alternative has rated voltage 13.5 kv. Connected to CB, the inductive reactance = 4 Ω/phase and charging capacitance C= 2microk. Determine maximum RRRV, peak restriking voltage and frequency of voltage oscillator.","What is the maximum RRRV, peak restriking voltage, and frequency of voltage oscillator when a Sony 3ø alternative with a rated voltage of 13.5 kV is connected to a circuit breaker with an inductive reactance of 4 Ω/phase and a charging capacitance of 2 microk?"
Explain a better way to manage the drainage problem for hill roads. Briefly describe various cases with the neat sketches.,"What are some improved methods for dealing with drainage issues on roads located on hills? Please provide a brief overview of the various scenarios, accompanied by clear diagrams."
Write short notes on any two: i) Conflict Model ii) Acculturation iii) Private Limited Company,i) Summarize the Conflict Model. ii) Describe Acculturation. iii) Explain a Private Limited Company.
What is ISDN? Explain ISDN architecture along with its features and applications.,"Describe the architecture and characteristics of an Integrated Services Digital Network (ISDN), and provide examples of its applications."
"Explain causes, effects and remedy to reduce intersymbol interference problem.","Describe the origins, consequences and solution to decreasing intersymbol interference difficulty."
Determine the output voltages caused by each bit in a 4-bit voltage mode R-2R ladder if the input levels are '0'=0V and '1'=+12V. Determine the resolution and full scale output of this ladder circuit. Find out the voltage from the above ladder for a digital input of 1011.,"What is the resolution and full scale output of a 4-bit voltage mode R-2R ladder circuit when the input levels are 0V for a '0' and +12V for a '1', and what is the output voltage for a digital input of 1011?"
"Write short notes on: (Any two) Construction Bye-Laws, Harmony, Contrast, Rhythm","Provide brief explanations of Construction Bye-Laws, Harmony, Contrast, and Rhythm."
Write down the general properties of first class bricks and their constituents. What are the harmful elements on bricks?,"What are the typical characteristics of first class bricks and their components, as well as any potentially hazardous elements present in them?"
Explain the fundamental principle of engineering profession.,Describe the core concept of engineering.
"Enlist with their functions, at least five heavy construction equipments and machinery used in a major hydropower project.",List five pieces of heavy construction equipment and their uses in a major hydropower project.
What are the objectives of preliminary survey in road alignment? Explain the methods of preliminary survey.,What are the goals of an initial assessment in road alignment and how can these be achieved?
What are the theories of social and cultural change? Briefly explain the evolution theory of cultural change.,What are the explanations behind changes in social and cultural behavior? Can you provide an overview of the evolution theory of cultural transformation?
List out advantages and disadvantages of distributed system over centralized system. Explain Remote Procedure Call (RPC) with the help of an appropriate figure.,What are the pros and cons of a distributed system compared to a centralized system? Illustrate Remote Procedure Call (RPC) using a diagram.
"The capacity of a communication line is 2000 bits per second. The line is used to transmit eight-bit characters, so the maximum rate is 250 characters per second. The application calls for traffic from many devices to be sent on the line with a total volume of 12000 characters per minute. Obtain the operating characteristics for the system.","What is the operating capacity for the system if the communication line has a capacity of 2000 bits per second, is used to send eight-bit characters, and needs to transmit 12000 characters per minute?"
"Explain with neat sketch, operating principle of d.c. generator. Derive emf equation. Also Explain speed control methods of separately excited DC motor.","Draw a diagram to show how a d.c. generator works and derive the equation for the electromotive force. Additionally, describe the techniques used to adjust the speed of a separately excited d.c. motor."
Projects in Nepal are difficult to accomplish in time successfully. What are the necessary steps to be followed to overcome this problem?,What measures should be taken to ensure that projects in Nepal are completed on time and successfully?
"Write a brief description of push down automata, with suitable example.","Describe a Push Down Automaton in a few sentences, providing an illustration to help explain it."
What is Interrupt Vector Table (IVT)? Draw the IVT for 8086 microprocessor and explain different types of 8086 interrupts with respect to interrupt vector table.,"Reworded:
What is the purpose of an Interrupt Vector Table (IVT)? Illustrate the IVT for an 8086 microprocessor, and elaborate on the different types of 8086 interrupts with reference to the IVT."
Find the tension in the string and reaction as shown in fig. Take 100N circular roller of weight and radius 20 cm hangs by a tie rod AB = 40 cm.,What is the tension in the string and the reaction force when a 100N circular roller with a radius of 20 cm is suspended by a 40 cm tie rod?
What do you mean by specification? Briefly explain the purpose of specification.,How would you describe the concept of specification? Can you provide a brief overview of the purpose of specification?
Describe the role of implementation in software life cycle.,What is the significance of implementation in the software development process?
Explain property list and association list with suitable examples.,"What are property list and association list, and can you provide some examples?"
What do you mean by programming language? Write about different types of programming languages?,What is the definition of a programming language? What are the different varieties of programming language?
"The steady state excess hole concentration of is expected to semi-infinite silicon bar of cross-section . If hole diffusion length Lp=10-3 cm and hole life time Ep=10-6 S. Then derive equation of excess hole distribution and calculate Steady state storage charge Hole current Ip(x=0), Hole current","What is the equation for the steady state excess hole concentration in a semi-infinite silicon bar of a given cross-section, given a hole diffusion length of 10-3 cm and a hole life time of 10-6 s? Additionally, calculate the steady state storage charge and hole current at x=0."
How is the detailed surveying performed for a gravity flow water supply system in rural area? Describe briefly.,What is the process for conducting an in-depth survey of a gravity-fed water supply system in a rural area? Please provide a brief overview.
"A CD disk holder has two compartments, each of which holds 5 CDs. If I have 5 rock CDs and 5 classical CDs, in how many different ways can I store them if i) they are all mixed together ii) the rock and the classical CDs are to be separately stored?",i) How many different combinations can I make if I store the 10 CDs together in the CD disk holder? ii) How many different ways can I store the 5 rock CDs and the 5 classical CDs in the two compartments of the CD disk holder?
Describe Kailashkuta Bhawana built by Anshuvarman. What are some of the sources for these detailed descriptions?,What are some of the sources that provide detailed information about the Kailashkuta Bhawana constructed by Anshuvarman?
How segregation and bleeding of concrete can be controlled. What are the methods for concreting and curing of concrete in hot climatic condition.,"What are the techniques for controlling segregation and bleeding of concrete, as well as for concreting and curing of concrete in hot climates?"
Determine the rate of flow of water through a pipe of 20 cm diameter and length 50 m when one end of the pipe is connected to a tank and other end of the pipe is open to the atmosphere. The pipe is horizontal and the height of water in the tank is 4 m above the center of the pipe. Consider all losses and take frictional coefficient f = 0.009.,"What is the rate of water flowing through a 20 cm diameter pipe that is 50 m long, with one end connected to a tank 4 m above the center of the pipe and the other end open to the atmosphere, taking into account all losses and a frictional coefficient of 0.009?"
"2 people at the opposite end of the road. Both started at the same time to walk at different constant speed. At first cross they crossed at 720m from RHS end. They reached to next end rested for 10 minutes and again started walking, now they crosses at 400m from LHS end. Now find the length of the road.","What is the distance between the two ends of the road if two people started walking from opposite ends at the same time, each at a constant speed, and crossed each other at 720 meters from the right-hand side end and 400 meters from the left-hand side end after taking a 10-minute break?"
"Write short notes on: (Any two) Type of organization that is suitable for Civil Engineering Project, Selection procedure of a Consultant of a Consultant for a construction project design, Hierarchy of needs thoery.","Provide brief descriptions of two types of organizations that are suitable for Civil Engineering Projects, explain the selection process for a Consultant for a construction project design, and explain the Hierarchy of Needs Theory."
Write short notes on (Any Two) i) Data Encryption ii) Snapshots iii) Discretionary access control iv) Multi-value Dependency,i) Summarize the concept of Data Encryption ii) Explain what Snapshots are iii) Describe Discretionary access control iv) Explain the concept of Multi-value Dependency
What do you mean by 'Good Earthing'? What is the need of good earthing?,"What is the definition of ""Good Earthing""? What is the purpose of having good earthing?"
Define GRASP. Explain the purpose of Creator pattern with an example?,"What is GRASP? What is the goal of the Creator pattern, and can you provide an example?"
What is relief displacement? Derive an expression and draw conclusions.,Reword the query: How does relief displacement work? Develop an equation and make deductions.
A spherical vessel of 1.5m internal diameter and 10 mm thick is filled with a fluid under pressure until its volume is increased by 250cm3. Calculate the pressure exerted by the fluid on the vessel. Take E = 210KN/mm2,"What is the pressure of the fluid inside a 1.5m wide, 10mm thick sphere that has been filled until its volume has increased by 250cm3, given that the modulus of elasticity is 210KN/mm2?"
Describe the representations of Non-deterministic Finite Automata (NFA) and Deterministic Finite Automata (DFA) with the help of the Training Diagram (TD) and Transition Table (TT). Construct an NFA that accepts the language described by the Regular Expression R= abc(a/b/c)*cba,"What is the Training Diagram (TD) and Transition Table (TT) representation of a Non-deterministic Finite Automata (NFA) and Deterministic Finite Automata (DFA), and how can they be used to construct an NFA which accepts the language described by the Regular Expression R= abc(a/b/c)*cba?"
Explain the control structural of LISP,What is the control flow of LISP?
Differentiate ADT and C++ class. Write an ADT for natural numbers.,What is the difference between an ADT and a C++ class? Please provide an example of an ADT for natural numbers.
A multi-storey building is sifting and tilting due to the ground subsidence and instability of the foundation soil. What could be the remedial measures to overcome the problem mentioned? Explain the methods that you recommend with neat sketches if any.,"What steps can be taken to address the shifting and tilting of a multi-story building caused by subsidence and instability of the foundation soil? Please provide an explanation of the methods you suggest, along with any relevant diagrams."
Why short run average cost curve U-shaped? Illustrate and explain the relationship between SAC and SMC.,What is the reason for the U-shape of the short run average cost curve? Demonstrate and explain the correlation between the short run average cost and the short run marginal cost.
How symmetrical fault is analyzed in building illumination system. Explain MCB coordination for building lighting.,What is the process of analyzing symmetrical fault in a building lighting system? Describe how MCB coordination works in a building lighting system.
Write short notes on: (Any two) Band thery in solids Atomic view of resistivity Nicol Prism,Compose brief explanations for: (Choose two) Band Theory of Solids Atomic Nature of Resistivity Nicol Prism
What is pointer in C? Can a function return more than one value? Justify your answer with an example.,What is the concept of a pointer in the C programming language? Is it possible for a function to return more than one value? Please provide an example to support your answer.
"Write about Rational, WECS and DHM methods for flood estimation.","Describe the Rational, WECS, and DHM techniques used in estimating flood levels."
"Write short notes on any two: Feedback Systems, Utilization & occupancy, Estimation Methods","Provide brief descriptions of Feedback Systems, Utilization & occupancy, and Estimation Methods."
Define the impact of diversity issues in Human Interactions?,What are the consequences of diversity matters in Human Relations?
Why is it necessary to develop and implement procedures for error control in communications circuits? Briefly explain error detection and error correction mechanism with examples.,"What is the significance of creating and enforcing rules for error prevention in communication networks? Describe the mechanisms of error detection and error correction, including some examples."
Prove that maximum effective area of any antenna is 1.5,Demonstrate that the most efficient area of any antenna is 1.5.
"What do you understand by the term, “Coreless type Induction Furnace”? With the help of a simple sketch, explain the working of a core-less type induction furnace.","How would you explain the workings of a coreless type induction furnace, with the help of a sketch?"
"In a balanced network, AB is a resistance of 500Ω in series with an inductor of 0.18H, BC and DA are non-inductive resistances of 1000Ω each and CD consists of a resistance R in series with a capacitor C. A potential difference of 5V at a frequency 5000/ 2π is applied between points A and C. Determine the values of R and C.","What are the values of the resistance R and the capacitor C in a balanced network where AB is a 500Ω resistance in series with an 0.18H inductor, BC and DA are 1000Ω non-inductive resistances, and CD consists of a resistance R in series with a capacitor C when a 5V potential difference at a frequency of 5000/ 2π is applied between points A and C?"
Design a combinational circuit which takes three input numbers and produces an output equal to square of the input.,Construct a combinational circuit that has three input numbers and produces an output equal to the square of those inputs.
What is a Project? Explain the characteristics of a project?,How would you define a Project? What are the key features of a Project?
Implement a full-adder circuit with a decoder and two OR gates.,Construct a full-adder circuit utilizing a decoder and two OR gates.
"Explain the term demography. What are key determinants of population change and sources of demographic data, discuss in brief? Highlights its significance in settlement planning.",Describe the concept of demography. What are the main factors that affect population growth and what are the sources of demographic information? Explain the importance of demography in settlement planning.
Explain Systolic Processors and Wave front Processors.,Describe Systolic Processors and Wave front Processors in detail.
What is utility? State and explain about the law of diminishing marginal utility with a suitable example and figure.,"How does utility work? Describe the law of diminishing marginal utility with an example and an illustration. The law of diminishing marginal utility states that as a consumer consumes more and more of a good or service, the satisfaction they receive from each additional unit of that good or service will decrease. For example, if a person eats one slice of pizza, they will be very satisfied. However, if they eat a second slice, they will not be as satisfied as they were with the first slice. If they eat a third slice, they will be even less satisfied than with the second slice, and so on. This is illustrated in the figure below. [Insert figure]"
The image of real object in a diverging lens of focal length 10cm is formed 4cm from the lens. Find the object distance and the magnification.,"What is the distance from the diverging lens of focal length 10cm to the real object, and what is the magnification of the image formed 4cm from the lens?"
Find a real root of the equation: xlog10x=1.2 by using Newton-Raphson (NR) method such that the root must have error less than 0.0001%.,"Using the Newton-Raphson method, determine a real root of the equation xlog10x=1.2 that has an error of less than 0.0001%."
What are the major resources of a project? Explain resource allocation,What are the key inputs needed to complete a project? How should those resources be distributed?
Show the differences between Pipelined Operation and Parallel operation with suitable example.,Provide an example to illustrate the distinctions between Pipelined Operation and Parallel Operation.
Define surveying? What are it’s principles? Describe them.,What is the definition of surveying? What are the main principles of surveying? Can you explain them?
Write short notes on: (Any two) Crossover distortion and its elimination. or Power dissipation and heat sink,"Provide a brief overview of Crossover distortion and methods of eliminating it, as well as Power dissipation and the purpose of heat sinks."
"Write short notes on: (Any two) Romberg Integration, Laplacian Equation, Advantage of pivoting over Gauss Elimination method.","Provide brief descriptions of Romberg Integration, Laplacian Equation, and the advantages of using pivoting over the Gauss Elimination method."
An air standard diesel cycle has a compression ratio of 22 and expansion ratio of 11. Determine its cut off ratio and the efficiency.,What is the cut off ratio and efficiency of an air standard diesel cycle with a compression ratio of 22 and an expansion ratio of 11?
What do you mean by hardness of aggregate? How could you measure the hardness of road aggregate? Explain.,What is the concept behind the hardness of aggregate? How can the hardness of aggregate used for roads be measured? Can you provide an explanation?
"Write short notes on: (Any two) Optical Fiber, Smart Grid, Addressing modes of 8051","Provide a brief overview of Optical Fiber, Smart Grid, and the Addressing Modes of 8051."
Explain Doppler’s effect taking all three conditions and mention it’s limitation also: i) Observer moving but source at rest ii) Source moving but observer at rest iii) Both source and observer are moving,"Describe the Doppler effect in all three scenarios: when the observer is in motion while the source is stationary, when the source is in motion while the observer is stationary, and when both the source and observer are in motion. Additionally, discuss any limitations of this phenomenon."
Explain the stress- strain diagram of Concrete with different types of elastic moduli,Describe the stress-strain diagram of Concrete with various elastic moduli.
What do you mean by machine learning? Explain learning by analog.,What is the definition of machine learning? Can you provide an example of learning through analog?
Draw a diagram and explain the electrolysis of water. Write down the chemical reaction involved during the process.,Create a visual representation of the electrolysis of water and explain the chemical reaction occurring during the process. Record the equation of the reaction.
"Calculate nos bricks, cement , sand and water for 800 m2 of a half brick thick partition wall with (1:3 ) cement mortar. Assume missing data.","Determine the amount of bricks, cement, sand, and water needed to construct a half-brick thick partition wall covering 800 square meters with a 1:3 cement mortar ratio, taking into account any missing information."
Differentiate between the radial and ring main distributor with clear diagram.,"What is the difference between a radial and ring main distributor, and how can it be illustrated with a diagram?"
What do you know about the ground water movement? Write down the stages of Valley development.,Describe the stages of Valley development that you are aware of in regards to ground water movement.
A random sample of 12 values from a normal population showed a mean of 31.9 inches and sum of square of deviation from this mean equal to 125 square inches. Obtain 95% confidence interval for µ.,What is the 95% confidence interval for the population mean (µ) given that a random sample of 12 values from a normal population had a mean of 31.9 inches and a sum of square of deviation from this mean equal to 125 square inches?
What are the advantages and disadvantages of Silicon Carbide arrester and Zinc Oxide arrester used in High Voltage Transmission line? Compare the performance characteristics of Silicon Carbide arrester with a Zinc Oxide arrester,What are the pros and cons of using Silicon Carbide and Zinc Oxide arresters in High Voltage Transmission lines? How do the performance characteristics of Silicon Carbide and Zinc Oxide arresters compare?
Write short notes on any two: i) RS-232 ii) Standard Telemetry iii) Penetrant Testing,i) Provide a brief overview of RS-232. ii) Summarize the key points of Standard Telemetry. iii) Describe the process of Penetrant Testing.
A long solenoid is formed by winding 20 turns per cm. What current is necessary to produce a magnetic field of 20 mT inside the solenoid?,What current is required to generate a magnetic field of 20 mT inside a solenoid that has 20 turns per cm?
